t_sec,slip_active,raw_velocity_error,corrected_velocity_error,adaptive_fuzzy_input,alpha_new_raw,alpha_old_corrected,kf2_err,ann_err,fls_new_err,fls_old_err
0.0,0,0.18,0.16,1.0,0.0,0.0,0.07,0.446,0.07,0.07
1.0,0,0.219,0.19,1.199,0.0,0.0,0.097,0.476,0.097,0.097
2.0,0,0.193,0.17,1.038,0.0,0.0,0.101,0.503,0.101,0.101
3.0,0,0.145,0.134,0.79,0.0,0.0,0.046,0.523,0.046,0.046
4.0,0,0.155,0.141,0.864,0.0,0.0,0.068,0.532,0.068,0.068
5.0,0,0.206,0.18,1.149,0.0,0.0,0.12,0.53,0.12,0.12
6.0,0,0.214,0.186,1.164,0.199,0.0,0.1,0.519,0.098,0.1
7.0,0,0.165,0.149,0.896,0.022,0.0,0.034,0.5,0.04,0.034
8.0,0,0.141,0.131,0.782,0.002,0.0,0.08,0.478,0.08,0.08
9.0,0,0.181,0.161,1.021,0.0,0.0,0.107,0.456,0.107,0.107
10.0,0,0.22,0.19,1.213,0.37,0.0,0.079,0.438,0.167,0.079
11.0,0,0.192,0.169,1.042,0.067,0.0,0.081,0.425,0.049,0.081
12.0,0,0.144,0.133,0.794,0.007,0.0,0.107,0.419,0.103,0.107
13.0,0,0.156,0.142,0.878,0.001,0.0,0.076,0.422,0.076,0.076
14.0,0,0.207,0.18,1.162,0.0,0.0,0.037,0.432,0.037,0.037
15.0,0,0.213,0.185,1.167,0.204,0.0,0.103,0.45,0.173,0.103
16.0,0,0.164,0.148,0.894,0.022,0.0,0.119,0.472,0.126,0.119
17.0,0,0.141,0.131,0.788,0.002,0.0,0.064,0.494,0.065,0.064
18.0,0,0.183,0.162,1.033,0.0,0.0,0.049,0.512,0.049,0.049
19.0,0,0.22,0.19,1.217,0.372,0.0,0.102,0.522,0.13,0.102
20.0,1,0.22,0.16,1.194,0.067,0.0,0.108,0.551,0.137,0.108
21.0,1,0.34,0.19,1.732,0.674,0.0,0.175,0.531,0.408,0.175
22.0,1,0.46,0.22,2.081,0.909,0.329,0.253,0.534,0.503,0.323
23.0,1,0.58,0.25,2.256,1.0,0.467,0.335,0.56,0.56,0.403
24.0,1,0.7,0.28,2.311,1.0,0.575,0.418,0.603,0.603,0.478
25.0,1,0.82,0.31,2.294,1.0,0.683,0.501,0.653,0.653,0.557
26.0,1,0.94,0.34,2.24,1.0,0.79,0.585,0.701,0.701,0.637
27.0,1,1.06,0.37,2.169,0.991,0.898,0.669,0.736,0.733,0.705
28.0,1,1.18,0.4,2.093,0.95,0.997,0.754,0.749,0.736,0.748
29.0,1,1.3,0.43,2.018,0.902,1.0,0.838,0.737,0.719,0.737
30.0,1,1.42,0.46,1.948,0.855,1.0,0.923,0.702,0.691,0.702
31.0,1,1.54,0.49,1.882,0.811,1.0,1.008,0.65,0.662,0.65
32.0,1,1.66,0.52,1.822,0.771,1.0,1.093,0.593,0.642,0.593
33.0,1,1.78,0.55,1.768,0.735,1.0,1.177,0.544,0.64,0.544
34.0,1,1.9,0.58,1.719,0.701,1.0,1.262,0.512,0.662,0.512
35.0,1,2.02,0.61,1.674,0.671,1.0,1.347,0.505,0.707,0.505
36.0,1,2.14,0.64,1.633,0.644,1.0,1.432,0.523,0.772,0.523
37.0,1,2.26,0.67,1.596,0.619,1.0,1.517,0.563,0.85,0.563
38.0,1,2.38,0.7,1.563,0.596,1.0,1.602,0.614,0.931,0.614
39.0,1,2.42,0.73,1.487,0.56,1.0,1.686,0.665,1.027,0.665
40.0,1,2.42,0.76,1.406,0.507,1.0,1.771,0.703,1.137,0.703
41.0,1,2.42,0.79,1.342,0.462,1.0,1.856,0.723,1.234,0.723
42.0,1,2.42,0.81,1.295,0.438,1.0,1.941,0.72,1.301,0.72
43.0,1,2.42,0.81,1.295,0.432,1.0,2.026,0.699,1.339,0.699
44.0,1,2.42,0.81,1.295,0.432,1.0,2.111,0.666,1.365,0.666
45.0,1,2.42,0.81,1.295,0.432,1.0,2.196,0.629,1.392,0.629
46.0,1,2.42,0.81,1.295,0.432,1.0,2.281,0.597,1.425,0.597
47.0,1,2.42,0.81,1.295,0.432,1.0,2.366,0.576,1.468,0.576
48.0,1,2.42,0.81,1.295,0.432,1.0,2.451,0.57,1.522,0.57
49.0,1,2.42,0.81,1.295,0.432,1.0,2.536,0.581,1.586,0.581
50.0,1,2.42,0.81,1.295,0.432,1.0,2.621,0.607,1.657,0.607
51.0,1,2.42,0.81,1.295,0.432,1.0,2.706,0.64,1.728,0.64
52.0,1,2.42,0.81,1.295,0.432,1.0,2.791,0.669,1.795,0.669
53.0,1,2.42,0.81,1.295,0.432,1.0,2.876,0.685,1.854,0.685
54.0,1,2.42,0.81,1.295,0.432,1.0,2.961,0.682,1.901,0.682
55.0,1,2.42,0.81,1.295,0.432,1.0,3.046,0.66,1.938,0.66
56.0,1,2.42,0.81,1.295,0.432,1.0,3.13,0.626,1.966,0.626
57.0,1,2.42,0.81,1.295,0.432,1.0,3.215,0.59,1.99,0.59
58.0,1,2.42,0.81,1.295,0.432,1.0,3.3,0.564,2.017,0.564
59.0,1,2.42,0.81,1.295,0.432,1.0,3.385,0.556,2.049,0.556
