stamp,log_run_id,source,gps_available,forced_dropout,model_loaded,model_ready,model_samples,model_sha256,model_target_mode,model_input_normalization,ann_x,ann_y,output_x,output_y,odom_x,odom_y,gps_x,gps_y,origin_source,origin_x,origin_y,fuzzy_alpha_ann,fuzzy_alpha_odom,fuzzy_velocity_error,input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14
1.209000000,1780528008_25732,gps,True,False,True,True,1216,a3124b85a7f7225bb8107ddfb63e577df0c6970e7bc88a86a18402e20b8acd4c,absolute,standard,-0.025462591,0.131826167,0.192741719,-0.022242957,-0.000009551,-0.000000027,0.192741719,-0.022242957,first_gps,-0.046895677,0.103270995,nan,nan,nan,0.002807629,0.004752345,0.005519743,0.000004773,0.000008079,0.000009384,0.000009546,0.000016158,0.000018767,-0.002484185,0.000164327,-0.000291938,-0.000001752,0.000002278,-0.000000003
1.250000000,1780528008_25732,gps,True,False,True,True,1216,a3124b85a7f7225bb8107ddfb63e577df0c6970e7bc88a86a18402e20b8acd4c,absolute,standard,-0.028030897,0.125193590,-0.124867395,0.079534262,0.000001067,-0.000000010,-0.124867395,0.079534262,first_gps,-0.046895677,0.103270995,nan,nan,nan,-0.003386236,0.000900471,0.003503918,-0.000028211,0.000011174,0.000030343,-0.000056422,0.000022348,0.000060686,0.008653402,0.000514225,0.000039702,-0.000000690,0.000001080,-0.000000001
1.301000000,1780528008_25732,gps,True,False,True,True,1216,a3124b85a7f7225bb8107ddfb63e577df0c6970e7bc88a86a18402e20b8acd4c,absolute,standard,-0.027291216,0.124719719,0.070524595,-0.013761573,-0.000002979,-0.000000017,0.070524595,-0.013761573,first_gps,-0.046895677,0.103270995,nan,nan,nan,-0.003856396,-0.011817999,0.012431287,-0.000032896,-0.000018131,0.000037561,-0.000065791,-0.000036262,0.000075122,0.012494354,0.000634892,0.000013430,-0.000001094,0.000000527,-0.000000002
1.350000000,1780528008_25732,gps,True,False,True,True,1216,a3124b85a7f7225bb8107ddfb63e577df0c6970e7bc88a86a18402e20b8acd4c,absolute,standard,-0.023665483,0.130091346,0.081948901,-0.097618056,-0.000003261,-0.000000017,0.081948901,-0.097618056,first_gps,-0.046895677,0.103270995,nan,nan,nan,0.002779597,-0.003456068,0.004435151,-0.000031686,-0.000053872,0.000062499,-0.000063371,-0.000107743,0.000124998,0.015863700,0.000740743,-0.000057541,-0.000001123,-0.000002870,-0.000000002
1.400000000,1780528008_25732,gps,True,False,True,True,1216,a3124b85a7f7225bb8107ddfb63e577df0c6970e7bc88a86a18402e20b8acd4c,absolute,standard,-0.021917220,0.132166061,0.039422584,0.285918200,-0.000002393,-0.000000016,0.039422584,0.285918200,first_gps,-0.046895677,0.103270995,nan,nan,nan,0.003019193,-0.002413267,0.003865149,0.000003425,-0.000090744,0.000090808,0.000006850,-0.000181488,0.000181617,0.014568349,0.000700048,-0.000003223,-0.000001036,-0.000000148,-0.000000002
1.450000000,1780528008_25732,gps,True,False,True,True,1216,a3124b85a7f7225bb8107ddfb63e577df0c6970e7bc88a86a18402e20b8acd4c,absolute,standard,-0.029764563,0.131446147,0.029293096,0.000915139,0.000004376,-0.000000004,0.029293096,0.000915139,first_gps,-0.046895677,0.103270995,nan,nan,nan,0.003346850,-0.003551723,0.004880178,0.000014485,-0.000109390,0.000110345,0.000028969,-0.000218780,0.000220690,-0.025842672,-0.000569501,0.000118335,-0.000000359,-0.000009628,-0.000000001
1.500000000,1780528008_25732,gps,True,False,True,True,1216,a3124b85a7f7225bb8107ddfb63e577df0c6970e7bc88a86a18402e20b8acd4c,absolute,standard,-0.016408214,0.140475799,0.017461109,0.044091962,-0.000002249,-0.000000016,0.017461109,0.044091962,first_gps,-0.046895677,0.103270995,nan,nan,nan,0.009602973,0.001838199,0.009777324,0.000065585,-0.000093688,0.000114363,0.000131171,-0.000187376,0.000228726,0.007922768,0.000491271,0.000005372,-0.000001021,0.000000134,-0.000000002
1.550000000,1780528008_25732,gps,True,False,True,True,1216,a3124b85a7f7225bb8107ddfb63e577df0c6970e7bc88a86a18402e20b8acd4c,absolute,standard,-0.022758767,0.134517587,0.091365595,0.075659803,-0.000011953,-0.000000032,0.091365595,0.075659803,first_gps,-0.046895677,0.103270995,nan,nan,nan,0.001414185,-0.007609106,0.007739407,0.000073938,-0.000111207,0.000133543,0.000147876,-0.000222413,0.000267086,-0.003844589,0.000121589,-0.000275079,-0.000001992,0.000003323,-0.000000004
1.600000000,1780528008_25732,gps,True,False,True,True,1216,a3124b85a7f7225bb8107ddfb63e577df0c6970e7bc88a86a18402e20b8acd4c,absolute,standard,-0.026181573,0.135595933,-0.099380946,0.124113303,-0.000002713,-0.000000017,-0.099380946,0.124113303,first_gps,-0.046895677,0.103270995,nan,nan,nan,0.004359852,-0.000659543,0.004409457,0.000069676,-0.000107779,0.000128340,0.000139353,-0.000215559,0.000256680,-0.025098325,-0.000546117,-0.000101493,-0.000001068,0.000008019,-0.000000002
1.650000000,1780528008_25732,gps,True,False,True,True,1216,a3124b85a7f7225bb8107ddfb63e577df0c6970e7bc88a86a18402e20b8acd4c,absolute,standard,-0.020190048,0.137308420,-0.159047484,-0.218553810,-0.000000892,-0.000000012,-0.159047484,-0.218553810,first_gps,-0.046895677,0.103270995,nan,nan,nan,0.005988119,0.003170863,0.006775835,0.000063063,-0.000090773,0.000110529,0.000126127,-0.000181546,0.000221058,-0.000135285,0.000238120,-0.000018038,-0.000000886,0.000000008,-0.000000002
