stamp,sample_index,input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14,target_x_m,target_y_m,target_x_norm,target_y_norm,odom_x_m,odom_y_m,target_norm_m,odom_error_m,training_target_x_m,training_target_y_m,training_target_x_norm,training_target_y_norm,prediction_x_m,prediction_y_m,prediction_error_m,target_mode
165.800000000,1,1.000000000,0.488579294,1.000000000,0.008843439,0.000812140,0.008880652,0.017686878,0.001624280,0.017761305,0.011115533,0.000846924,0.293153814,0.001760051,0.010241234,-0.000002595,0.000000000,0.000000000,0.000000000,0.000000000,0.017600509,-0.000025946,0.000000000,0.017600528,0.000000000,0.000000000,0.000000000,0.000000000,0.865140323,0.742551420,1.140109814,absolute
166.100000000,2,-0.003287231,-0.350060861,0.350076295,0.008878496,0.000080578,0.008878862,0.017756993,0.000161155,0.017757724,-0.013700351,0.000067310,0.293014760,0.029919705,-0.012619419,-0.000038497,0.118516118,0.070905967,0.011851612,0.007090597,0.299197051,-0.000384967,0.138107663,0.194236961,0.118516118,0.070905967,0.011851612,0.007090597,0.555276255,0.038144546,0.437987132,absolute
166.300000000,3,-0.002882733,0.267693275,0.267708797,0.008872461,0.000618419,0.008893987,0.017744922,0.001236839,0.017787974,0.007159356,0.000722637,0.293339908,0.047520280,0.006598850,-0.000051356,0.538444314,0.027527258,0.053844431,0.002752726,0.475202798,-0.000513557,0.539147502,0.069179307,0.538444314,0.027527258,0.053844431,0.002752726,0.681470771,0.017318921,0.143390299,absolute
166.600000000,4,0.003975658,0.133409622,0.133468847,0.008900420,0.000430159,0.008910809,0.017800840,0.000860318,0.017821618,-0.000120272,0.000493940,0.293284594,0.073919729,-0.000110816,-0.000061054,0.759002161,0.089179125,0.075900216,0.008917912,0.739197293,-0.000610539,0.764223264,0.091947901,0.759002161,0.089179125,0.075900216,0.008917912,0.788766981,-0.004623992,0.098412241,absolute
166.800000000,5,-0.002104214,-0.153107707,0.153122166,0.008875262,0.000122221,0.008876103,0.017750524,0.000244441,0.017752207,-0.010614178,0.000164265,0.293155561,0.091519757,-0.009779021,-0.000055794,0.803839651,0.071619856,0.080383965,0.007161986,0.915197571,-0.000557942,0.807023908,0.132703507,0.803839651,0.071619856,0.080383965,0.007161986,0.845430995,-0.025026051,0.105215356,absolute
167.100000000,6,-0.008364428,-0.485839157,0.485911155,0.008810637,-0.000744715,0.008842055,0.017621275,-0.001489430,0.017684109,-0.041290043,-0.000799446,0.290989095,0.117921014,-0.037959230,-0.000065228,1.160544804,0.096741459,0.116054480,0.009674146,1.179210135,-0.000652281,1.164569943,0.099166200,1.160544804,0.096741459,0.116054480,0.009674146,0.935089271,-0.043414881,0.265469390,absolute
167.300000000,7,-0.004049656,-0.181725647,0.181770764,0.008796483,0.000026171,0.008796522,0.017592965,0.000052341,0.017593043,-0.012690155,0.000099046,0.293356750,0.133761220,-0.011701541,-0.000066291,1.376520679,0.160893625,0.137652068,0.016089363,1.337612203,-0.000662914,1.385891748,0.166175765,1.376520679,0.160893625,0.137652068,0.016089363,1.066413155,-0.055808413,0.378320565,absolute
167.600000000,8,0.007174387,-0.438876324,0.438934961,0.008824446,-0.000139886,0.008825554,0.017648891,-0.000279771,0.017651109,-0.017444234,-0.000050308,0.292861608,0.161919888,-0.016065687,-0.000068608,1.627165404,0.267679994,0.162716540,0.026767999,1.619198877,-0.000686080,1.649036031,0.268484292,1.627165404,0.267679994,0.162716540,0.026767999,1.236064260,-0.053816865,0.506280886,absolute
167.800000000,9,-0.013952841,0.501793984,0.501987933,0.008813819,0.001038923,0.008874839,0.017627639,0.002077845,0.017749679,0.025572522,0.001301103,0.292547349,0.177760154,0.023553495,-0.000072556,1.728565206,-0.071887277,0.172856521,-0.007188728,1.777601539,-0.000725557,1.730059378,0.086420787,1.728565206,-0.071887277,0.172856521,-0.007188728,1.446476030,-0.058553527,0.282404129,absolute
168.100000000,10,0.002147654,-0.035455250,0.035520236,0.008845360,-0.000128268,0.008846290,0.017690721,-0.000256535,0.017692581,-0.018019588,-0.000068383,0.292755393,0.205919824,-0.016590669,-0.000078477,2.008645954,0.082368059,0.200864595,0.008236806,2.059198236,-0.000784773,2.010334068,0.097313548,2.008645954,0.082368059,0.200864595,0.008236806,1.475991068,-0.070696711,0.554211197,absolute
168.300000000,11,-0.247592510,0.023616091,0.248716246,0.008110202,0.000762936,0.008146008,0.016220403,0.001525872,0.016292015,0.015389277,0.000981187,0.266352908,0.223084025,0.012887364,-0.000079088,2.209226971,0.034926019,0.220922697,0.003492602,2.230840253,-0.000790876,2.209503030,0.041747222,2.209226971,0.034926019,0.220922697,0.003492602,1.556633653,-0.140732628,0.675820982,absolute
