stamp,sample_index,input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14,target_x_m,target_y_m,target_x_norm,target_y_norm,odom_x_m,odom_y_m,target_norm_m,odom_error_m,training_target_x_m,training_target_y_m,training_target_x_norm,training_target_y_norm,prediction_x_m,prediction_y_m,prediction_error_m,target_mode
0.200000000,1,0.004784592,-0.001107486,0.004911095,0.000003394,-0.000011736,0.000012217,0.000006789,-0.000023471,0.000024433,-0.026929400,-0.001586629,0.000282876,-0.000002669,-0.000023989,0.000000004,0.000000000,0.000000000,0.000000000,0.000000000,-0.000026688,0.000000042,0.000000000,0.000026688,0.000000000,0.000000000,0.000000000,0.000000000,0.582268060,0.738566113,0.940487106,absolute
0.404000000,2,-0.011562674,0.004932330,0.012570733,-0.000019329,0.000043116,0.000047251,-0.000038659,0.000086232,0.000094501,-0.005849229,-0.000924376,0.000383523,-0.000001889,-0.000007048,0.000000007,0.037863291,-0.047704803,0.003786329,-0.004770480,-0.000018890,0.000000072,0.060904656,0.060916457,0.037863291,-0.047704803,0.003786329,-0.004770480,0.543123216,0.685227989,0.890212373,absolute
0.615000000,3,-0.003167266,-0.001159208,0.003372735,-0.000021515,0.000072495,0.000075620,-0.000043031,0.000144990,0.000151241,-0.005064447,-0.000899722,-0.000387620,-0.000000499,0.000006168,0.000000006,-0.062637569,-0.020681017,-0.006263757,-0.002068102,-0.000004990,0.000000059,0.065963396,0.065958676,-0.062637569,-0.020681017,-0.006263757,-0.002068102,0.521742553,0.661519109,0.898274535,absolute
0.902000000,4,-0.001835540,-0.008185167,0.008388454,0.000019195,0.000058068,0.000061159,0.000038390,0.000116137,0.000122318,-0.010482415,-0.001069932,0.000363229,-0.000000580,-0.000011966,0.000000015,0.039328035,0.046827098,0.003932803,0.004682710,-0.000005802,0.000000147,0.061151218,0.061154837,0.039328035,0.046827098,0.003932803,0.004682710,0.498158209,0.623536534,0.736966011,absolute
1.200000000,5,0.004868219,0.250283484,0.250330824,0.008891485,-0.000378531,0.008899539,0.017782970,-0.000757062,0.017799078,-0.002178053,-0.000809043,0.298039566,0.008944631,-0.002039384,0.000036589,0.051860595,-0.016664530,0.005186060,-0.001666453,0.089446308,0.000365890,0.054472267,0.041264040,0.051860595,-0.016664530,0.005186060,-0.001666453,0.764703613,-0.494424008,0.858137103,absolute
1.401000000,6,-0.001667681,0.053634491,0.053660412,0.008897414,-0.000461380,0.008909368,0.017794828,-0.000922761,0.017818737,-0.002721599,-0.000826119,0.297802554,0.026838410,-0.002546320,0.000081301,0.268033691,-0.007851830,0.026803369,-0.000785183,0.268384101,0.000813010,0.268148673,0.008671923,0.268033691,-0.007851830,0.026803369,-0.000785183,0.793938459,-0.522593242,0.735890309,absolute
1.605000000,7,0.002369402,-0.235255859,0.235267791,0.008911511,-0.000549007,0.008928406,0.017823022,-0.001098014,0.017856812,-0.004533004,-0.000883026,0.299246170,0.044735631,-0.004261808,0.000091481,0.396313849,-0.126094521,0.039631385,-0.012609452,0.447356314,0.000914807,0.415890004,0.136882075,0.396313849,-0.126094521,0.039631385,-0.012609452,0.819450216,-0.567944589,0.611780898,absolute
1.904000000,8,-0.015664497,0.257971147,0.258446299,0.008895194,0.000061538,0.008895407,0.017790388,0.000123075,0.017790814,0.017194775,-0.000200428,0.297273706,0.071568054,0.016074060,0.000055900,0.604768547,0.058209100,0.060476855,0.005820910,0.715680539,0.000558996,0.607563408,0.125000018,0.604768547,0.058209100,0.060476855,0.005820910,1.002089566,-0.638732229,0.802241365,absolute
2.106000000,9,0.004524826,-0.524824219,0.524843725,0.008845619,-0.001542318,0.008979071,0.017691238,-0.003084636,0.017958142,-0.040379589,-0.002009179,0.295524819,0.089460977,-0.037691562,-0.000002230,0.894611939,0.100914705,0.089461194,0.010091470,0.894609766,-0.000022300,0.900285676,0.100937004,0.894611939,0.100914705,0.089461194,0.010091470,0.874112644,-0.641117634,0.742315440,absolute
2.413000000,10,0.000391076,-0.260086240,0.260086534,0.008785587,-0.000879400,0.008829489,0.017571174,-0.001758799,0.017658979,-0.013957193,-0.001179095,0.298951959,0.116304675,-0.013116798,-0.000038825,1.043709178,-0.081889055,0.104370918,-0.008188906,1.163046751,-0.000388246,1.046916743,0.144512415,1.043709178,-0.081889055,0.104370918,-0.008188906,1.057478364,-0.660988480,0.579263096,absolute
