stamp,sample_index,input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14,target_x_m,target_y_m,target_x_norm,target_y_norm,odom_x_m,odom_y_m,target_norm_m,odom_error_m,training_target_x_m,training_target_y_m,training_target_x_norm,training_target_y_norm,prediction_x_m,prediction_y_m,prediction_error_m,target_mode
3.306000000,1,0.005834079,-0.004298807,0.007246808,-0.000046653,0.000054591,0.000071810,-0.000093306,0.000109183,0.000143621,-0.006294037,-0.000345251,-0.000225961,-0.000002089,0.000004469,-0.000000020,0.000000000,0.000000000,0.000000000,0.000000000,-0.000020891,-0.000000195,0.000000000,0.000020892,0.000000000,0.000000000,0.000000000,0.000000000,0.215198218,0.399491142,0.453765849,absolute
3.600000000,2,-0.001401050,-0.006012207,0.006173295,-0.000068207,0.000094188,0.000116290,-0.000136413,0.000188375,0.000232581,0.010984567,0.000197573,0.000132895,0.000000430,0.000004588,-0.000000009,0.081558551,-0.008732400,0.008155855,-0.000873240,0.000004303,-0.000000094,0.082024704,0.082020415,0.081558551,-0.008732400,0.008155855,-0.000873240,0.215202243,0.399489605,0.429541432,absolute
3.900000000,3,0.000569087,-0.400902175,0.400902578,0.008845042,0.000306488,0.008850350,0.017690084,0.000612975,0.017700701,-0.026319430,-0.000974367,0.297092286,0.016101602,-0.024621190,0.000029741,0.122457454,0.109559887,0.012245745,0.010955989,0.161016018,0.000297408,0.164314324,0.115866528,0.122457454,0.109559887,0.012245745,0.010955989,0.215420042,0.399463568,0.304444062,absolute
4.203000000,4,0.006302673,0.320229579,0.320291597,0.008845990,0.000640774,0.008869168,0.017691980,0.001281548,0.017738335,-0.011680709,-0.000514478,0.296814936,0.042937758,-0.010896821,0.000052152,0.438568793,-0.072837736,0.043856879,-0.007283774,0.429377585,0.000521518,0.444576115,0.073932797,0.438568793,-0.072837736,0.043856879,-0.007283774,0.214959716,0.399523018,0.522614295,absolute
4.500000000,5,0.004753531,0.419577731,0.419604658,0.008816122,0.001036088,0.008876795,0.017632244,0.002072176,0.017753590,0.001753034,-0.000092444,0.298132053,0.069781576,0.001641925,0.000032592,0.569662280,0.018804165,0.056966228,0.001880417,0.697815756,0.000325917,0.569972552,0.129478798,0.569662280,0.018804165,0.056966228,0.001880417,0.214905112,0.399534010,0.520392028,absolute
4.700000000,6,0.002074740,-0.161781564,0.161794867,0.008861583,0.000829052,0.008900280,0.017723166,0.001658104,0.017800559,-0.006256792,-0.000344080,0.297764267,0.085883051,-0.005853695,0.000028411,0.726644718,-0.113617840,0.072664472,-0.011361784,0.858830510,0.000284111,0.735473697,0.174489936,0.726644718,-0.113617840,0.072664472,-0.011361784,0.215287926,0.399454866,0.724382061,absolute
4.900000000,7,-0.002710306,0.344886973,0.344897623,0.008832275,0.001243948,0.008919444,0.017664550,0.002487897,0.017838889,0.008506529,0.000119723,0.297570156,0.105564538,0.007954173,0.000036869,0.855573919,0.037736509,0.085557392,0.003773651,1.055645375,0.000368688,0.856405731,0.203531180,0.855573919,0.037736509,0.085557392,0.003773651,0.214964783,0.399515129,0.735706352,absolute
5.108000000,8,-0.006680775,-0.501339444,0.501383956,0.008785579,0.000707674,0.008814034,0.017571158,0.001415348,0.017628069,-0.012679082,-0.000545843,0.298284671,0.123461043,-0.011887715,0.000021800,1.199673396,0.139950266,0.119967340,0.013995027,1.234610431,0.000217996,1.207808898,0.144033689,1.199673396,0.139950266,0.119967340,0.013995027,0.215519058,0.399445373,1.017790485,absolute
5.316000000,9,-0.002424314,0.229331010,0.229343824,0.008849045,0.000068917,0.008849313,0.017698090,0.000137835,0.017698627,-0.036711974,-0.001300858,0.296103367,0.141353059,-0.034303040,0.000030939,1.356860157,-0.013274621,0.135686016,-0.001327462,1.413530594,0.000309388,1.356925090,0.058275756,1.356860157,-0.013274621,0.135686016,-0.001327462,0.215041978,0.399503416,1.214139391,absolute
5.600000000,10,0.008671359,0.539734357,0.539804009,0.008949172,0.002373609,0.009258601,0.017898344,0.004747218,0.018517203,0.022684784,0.000565146,0.297632803,0.168193428,0.021247186,0.000087762,1.572701596,0.045808560,0.157270160,0.004580856,1.681934276,0.000877616,1.573368595,0.118112523,1.572701596,0.045808560,0.157270160,0.004580856,0.214861100,0.399537705,1.403158979,absolute
5.800000000,11,0.000565450,-0.081487047,0.081489009,0.008899015,0.001289793,0.008991999,0.017798031,0.002579585,0.017983998,-0.016054182,-0.000651875,0.297516557,0.186083366,-0.015018192,0.000152272,1.771846015,0.057457152,0.177184601,0.005745715,1.860833659,0.001522722,1.772777376,0.105106904,1.771846015,0.057457152,0.177184601,0.005745715,0.215263170,0.399448069,1.593708863,absolute
6.001000000,12,0.007164996,0.642125913,0.642165886,0.008909775,0.002172133,0.009170728,0.017819549,0.004344265,0.018341455,0.015623946,0.000343323,0.297850601,0.203975707,0.014631473,0.000193236,2.082517800,-0.102266179,0.208251780,-0.010226618,2.039757069,0.001932359,2.085027280,0.112631326,2.082517800,-0.102266179,0.208251780,-0.010226618,0.214803174,0.399554343,1.933954953,absolute
