stamp,sample_index,input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14,target_x_m,target_y_m,target_x_norm,target_y_norm,odom_x_m,odom_y_m,target_norm_m,odom_error_m,training_target_x_m,training_target_y_m,training_target_x_norm,training_target_y_norm,prediction_x_m,prediction_y_m,prediction_error_m,target_mode
25.900000000,1,0.001384228,0.000586647,0.001503410,-0.000012848,0.000019154,0.000023064,-0.000025696,0.000038307,0.000046128,-0.006993173,0.000004521,0.000124789,-0.000001031,-0.000002742,0.000000003,0.000000000,0.000000000,0.000000000,0.000000000,-0.000010306,0.000000033,0.000000000,0.000010306,0.000000000,0.000000000,0.000000000,0.000000000,0.215193803,0.399491701,0.453764247,absolute
26.101000000,2,-0.003159164,0.010120879,0.010602476,-0.000068916,0.000020973,0.000072037,-0.000137832,0.000041946,0.000144074,-0.001088387,0.000190026,0.000121724,-0.000000851,-0.000000416,0.000000003,0.121239481,-0.054754458,0.012123948,-0.005475446,-0.000008512,0.000000027,0.133030307,0.133038075,0.121239481,-0.054754458,0.012123948,-0.005475446,0.215188315,0.399493191,0.463861305,absolute
26.447000000,3,0.000754311,0.002871063,0.002968499,-0.000038499,0.000043691,0.000058233,-0.000076998,0.000087383,0.000116466,-0.021870876,-0.000462875,0.000228246,0.000000033,-0.000015707,-0.000000000,-0.021732681,-0.076306973,-0.002173268,-0.007630697,0.000000326,-0.000000001,0.079341436,0.079341525,-0.021732681,-0.076306973,-0.002173268,-0.007630697,0.215188870,0.399493842,0.531524445,absolute
26.700000000,4,-0.001493932,-0.738818582,0.738820093,0.008789726,-0.000106175,0.008790367,0.017579452,-0.000212349,0.017580734,-0.027862350,-0.000651103,0.294281109,0.005313826,-0.025825049,-0.000026460,0.087923354,0.038358200,0.008792335,0.003835820,0.053138257,-0.000264600,0.095926366,0.051978107,0.087923354,0.038358200,0.008792335,0.003835820,0.215637529,0.399457785,0.383019348,absolute
27.003000000,5,0.004646514,-0.182519408,0.182578543,0.008826612,0.000591335,0.008846397,0.017653223,0.001182671,0.017692795,-0.003318211,0.000119974,0.295181746,0.031886218,-0.003077224,-0.000170347,0.380828741,0.071473040,0.038082874,0.007147304,0.318862181,-0.001703473,0.387477645,0.095888772,0.380828741,0.071473040,0.038082874,0.007147304,0.215286374,0.399459731,0.367395624,absolute
27.307000000,6,-0.004352529,-0.146029333,0.146094184,0.008795935,0.000678181,0.008822041,0.017591871,0.001356363,0.017644082,0.001061302,0.000257560,0.295246672,0.058459390,0.000984409,-0.000341513,0.447438641,0.008862536,0.044743864,0.000886254,0.584593904,-0.003415135,0.447526404,0.137703694,0.447438641,0.008862536,0.044743864,0.000886254,0.215269864,0.399457144,0.454385836,absolute
27.621000000,7,0.006328495,-0.215583030,0.215675897,0.008827398,0.000763000,0.008860312,0.017654796,0.001526000,0.017720623,0.003201530,0.000324798,0.295182866,0.086803425,0.002969021,-0.000534109,0.725461398,0.042864075,0.072546140,0.004286407,0.868034255,-0.005341092,0.726726612,0.150501687,0.725461398,0.042864075,0.072546140,0.004286407,0.215325813,0.399450443,0.622408349,absolute
27.900000000,8,-0.006806265,-0.107494007,0.107709269,0.008832079,0.001353861,0.008935242,0.017664157,0.002707723,0.017870484,0.023170108,0.000952129,0.294490792,0.111604454,0.021474232,-0.000721118,1.024563992,-0.007966088,0.102456399,-0.000796609,1.116044539,-0.007211177,1.024594960,0.091483661,1.024563992,-0.007966088,0.102456399,-0.000796609,0.215264536,0.399445650,0.906062876,absolute
28.103000000,9,0.003557873,-0.241685694,0.241711881,0.008859360,0.000299179,0.008864410,0.017718719,0.000598358,0.017728820,-0.014726606,-0.000238431,0.294803722,0.129319857,-0.013648833,-0.000857580,1.323266437,0.025498192,0.132326644,0.002549819,1.293198575,-0.008575803,1.323512078,0.045443519,1.323266437,0.025498192,0.132326644,0.002549819,0.215351562,0.399450447,1.169322735,absolute
28.400000000,10,0.000724256,-0.078438998,0.078442342,0.008821838,0.001226518,0.008906692,0.017643676,0.002453036,0.017813385,0.017518841,0.000774589,0.294936804,0.154120905,0.016248865,-0.001007883,1.540820621,-0.021429285,0.154082062,-0.002142929,1.541209049,-0.010078830,1.540969630,0.011357100,1.540820621,-0.021429285,0.154082062,-0.002142929,0.215257932,0.399442147,1.390772881,absolute
