stamp,sample_index,input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14,target_x_m,target_y_m,target_x_norm,target_y_norm,odom_x_m,odom_y_m,target_norm_m,odom_error_m,training_target_x_m,training_target_y_m,training_target_x_norm,training_target_y_norm,prediction_x_m,prediction_y_m,prediction_error_m,target_mode
4.100000000,1,-0.004044635,-0.000933612,0.004150988,0.000024247,0.000012859,0.000027445,0.000048493,0.000025718,0.000054891,0.007458009,-0.000342141,0.000026568,0.000000353,0.000000623,-0.000000001,0.000000000,0.000000000,0.000000000,0.000000000,0.000003535,-0.000000006,0.000000000,0.000003535,0.000000000,0.000000000,0.000000000,0.000000000,0.215197999,0.399490713,0.453765367,absolute
4.300000000,2,-0.003469618,0.005198577,0.006250076,-0.000014805,0.000050389,0.000052519,-0.000029609,0.000100778,0.000105038,-0.003966314,-0.000701046,0.295183790,0.001771063,-0.003678341,-0.000001036,0.078742845,-0.020026559,0.007874284,-0.002002656,0.017710630,-0.000010360,0.081249607,0.064230674,0.078742845,-0.020026559,0.007874284,-0.002002656,0.215154137,0.399469409,0.441117794,absolute
4.501000000,3,0.004998543,-0.471187887,0.471214400,0.008831835,-0.000086960,0.008832263,0.017663671,-0.000173921,0.017664527,-0.009737009,-0.000882338,0.295052166,0.019487513,-0.009028378,-0.000015703,0.049489814,-0.121399636,0.004948981,-0.012139964,0.194875135,-0.000157034,0.131099632,0.189305732,0.049489814,-0.121399636,0.004948981,-0.012139964,0.215471083,0.399456422,0.546663347,absolute
4.702000000,4,0.007033261,1.000000000,1.000000000,0.008792349,0.001015502,0.008850799,0.017584698,0.002031004,0.017701598,0.030807228,0.000391397,0.293763173,0.038974096,0.028520612,-0.000034391,0.320062590,-0.089226254,0.032006259,-0.008922625,0.389740962,-0.000343913,0.332267040,0.112938683,0.320062590,-0.089226254,0.032006259,-0.008922625,0.214524205,0.399634456,0.500123130,absolute
5.000000000,5,0.005902932,0.008005868,0.009946785,0.008835995,0.000474183,0.008848709,0.017671989,0.000948367,0.017697418,0.012241642,-0.000191858,0.294996162,0.063776317,0.011350634,-0.000082839,0.658289638,0.048642956,0.065828964,0.004864296,0.637763174,-0.000828389,0.660084377,0.053560710,0.658289638,0.048642956,0.065828964,0.004864296,0.215174449,0.399457283,0.565174099,absolute
5.200000000,6,-0.000882598,0.299222257,0.299223559,0.008809519,0.001093859,0.008877170,0.017619038,0.002187718,0.017754341,0.034034886,0.000492797,0.293713942,0.081492473,0.031525226,-0.000130547,0.775399443,-0.093619381,0.077539944,-0.009361938,0.814924728,-0.001305469,0.781030655,0.100419652,0.775399443,-0.093619381,0.077539944,-0.009361938,0.214993140,0.399502374,0.746474574,absolute
5.400000000,7,0.004047830,-0.243972913,0.244006490,0.008806154,0.000439204,0.008817100,0.017612308,0.000878408,0.017634200,0.010296501,-0.000252967,0.295250609,0.099207193,0.009553925,-0.000186198,0.922442217,-0.060461533,0.092244222,-0.006046153,0.992071935,-0.001861975,0.924421570,0.091006625,0.922442217,-0.060461533,0.092244222,-0.006046153,0.215349443,0.399446616,0.843502042,absolute
5.700000000,8,-0.002594781,-0.073529395,0.073575164,0.008847054,0.000348225,0.008853905,0.017694108,0.000696450,0.017707809,0.006683614,-0.000366469,0.295250676,0.125781138,0.006200346,-0.000271837,1.109635796,-0.041995004,0.110963580,-0.004199500,1.257811380,-0.002718368,1.110430178,0.153292720,1.109635796,-0.041995004,0.110963580,-0.004199500,0.215243850,0.399449251,0.997401616,absolute
5.900000000,9,0.002864794,-0.096366697,0.096409270,0.008875157,-0.000123857,0.008876021,0.017750315,-0.000247715,0.017752043,-0.009680457,-0.000880561,0.295226575,0.141724747,-0.008981215,-0.000323156,1.370570271,-0.115155990,0.137057027,-0.011515599,1.417247465,-0.003231559,1.375399495,0.121267632,1.370570271,-0.115155990,0.137057027,-0.011515599,0.215261011,0.399451091,1.264737100,absolute
6.102000000,10,-0.002308304,-0.171237357,0.171252914,0.008897111,-0.000066991,0.008897363,0.017794222,-0.000133982,0.017794727,-0.007608208,-0.000815460,0.295109926,0.161211484,-0.007055029,-0.000375953,1.540965344,-0.133826922,0.154096534,-0.013382692,1.612114842,-0.003759529,1.546765605,0.148255785,1.540965344,-0.133826922,0.154096534,-0.013382692,0.215315545,0.399447028,1.428890652,absolute
6.402000000,11,-0.000288507,0.068015587,0.068016199,0.008986679,0.000010828,0.008986685,0.017973358,0.000021655,0.017973371,-0.001869414,-0.000635170,0.295387126,0.187785838,-0.001734810,-0.000431849,1.807604475,0.018933476,0.180760448,0.001893348,1.877858383,-0.004318495,1.807703631,0.074001795,1.807604475,0.018933476,0.180760448,0.001893348,0.215168014,0.399458346,1.637270002,absolute
6.700000000,12,0.003264583,-0.530792450,0.530802490,0.008954599,0.000216727,0.008957222,0.017909199,0.000433455,0.017914443,0.006512871,-0.000371833,0.295240700,0.214359118,0.006041700,-0.000512576,2.094958093,0.051198538,0.209495809,0.005119854,2.143591180,-0.005125755,2.095583618,0.074415074,2.094958093,0.051198538,0.209495809,0.005119854,0.215570418,0.399427713,1.911376883,absolute
6.900000000,13,-0.005273188,0.039412160,0.039763361,0.008942521,0.000408395,0.008951841,0.017885041,0.000816790,0.017903682,0.013323094,-0.000157884,0.294637960,0.232072521,0.012339495,-0.000580899,2.329544746,0.012328637,0.232954475,0.001232864,2.320725210,-0.005808986,2.329577369,0.020168232,2.329544746,0.012328637,0.232954475,0.001232864,0.215202175,0.399444140,2.149488990,absolute
7.107000000,14,0.000207645,0.123460295,0.123460470,0.008941689,0.000134441,0.008942699,0.017883377,0.000268883,0.017885399,0.003493716,-0.000466683,0.295104309,0.249789179,0.003239145,-0.000651319,2.439158654,-0.017208310,0.243915865,-0.001720831,2.497891788,-0.006513186,2.439219356,0.059698967,2.439158654,-0.017208310,0.243915865,-0.001720831,0.215151264,0.399459571,2.262702145,absolute
7.400000000,15,0.009178609,0.118666657,0.119021101,0.008974263,0.004053465,0.009847232,0.017948526,0.008106929,0.019694464,0.143961116,0.003946231,0.265598073,0.275264027,0.129041979,0.005732647,2.720739714,-0.059530718,0.272073971,-0.005953072,2.752640266,0.057326467,2.721390912,0.121133179,2.720739714,-0.059530718,0.272073971,-0.005953072,0.215194924,0.399417195,2.547231415,absolute
7.601000000,16,-0.000421667,-0.647522391,0.647522528,0.009004974,0.007130814,0.011486430,0.018009948,0.014261628,0.022972859,0.252881661,0.007368071,0.206885844,0.288873898,0.210666047,0.016930572,2.784946850,0.103116371,0.278494685,0.010311637,2.888738978,0.169305716,2.786855207,0.123100915,2.784946850,0.103116371,0.278494685,0.010311637,0.215729250,0.399357240,2.586240076,absolute
7.900000000,17,0.007773987,-0.085493073,0.085845794,0.009052679,0.011645280,0.014750035,0.018105358,0.023290560,0.029500071,0.416237886,0.012500058,0.076812678,0.299721119,0.285131907,0.038952097,2.986673562,0.319619921,0.298667356,0.031961992,2.997211190,0.389520971,3.003726995,0.070690865,2.986673562,0.319619921,0.298667356,0.031961992,0.215417128,0.399346778,2.772403036,absolute
8.201000000,18,0.009079650,-0.347151992,0.347270709,0.009167584,0.013800765,0.016568214,0.018335167,0.027601530,0.033136427,0.494656080,0.014963638,0.004953247,0.301068271,0.295011726,0.067220069,3.112600432,0.511087968,0.311260043,0.051108797,3.010682712,0.672200692,3.154281592,0.190642418,3.112600432,0.511087968,0.311260043,0.051108797,0.215614812,0.399337131,2.899140206,absolute
8.500000000,19,-0.002199103,-0.367056097,0.367062685,0.009182167,0.013781551,0.016560294,0.018364335,0.027563101,0.033120588,0.493080631,0.014914144,0.006412931,0.301487046,0.294965886,0.093789975,3.037618629,0.881951571,0.303761863,0.088195157,3.014870463,0.937899747,3.163062679,0.060396005,3.037618629,0.881951571,0.303761863,0.088195157,0.215622847,0.399339919,2.862965979,absolute
8.800000000,20,-0.004384619,-0.018040861,0.018566032,0.009212216,0.013644093,0.016462873,0.018424431,0.027288185,0.032925745,0.487287382,0.014732144,0.011782453,0.301905642,0.294862703,0.120359757,2.949933842,1.055469564,0.294993384,0.105546956,3.019056415,1.203597574,3.133069688,0.163462037,2.949933842,1.055469564,0.294993384,0.105546956,0.215388663,0.399350510,2.812157455,absolute
9.100000000,21,-0.008533339,-0.075758537,0.076237614,0.009178795,0.013475594,0.016304659,0.018357589,0.026951189,0.032609319,0.481619555,0.014554084,0.017044387,0.302311064,0.294844073,0.146930955,2.996144651,1.414080966,0.299614465,0.141408097,3.023110639,1.469309548,3.313081307,0.061460238,2.996144651,1.414080966,0.299614465,0.141408097,0.215420949,0.399351849,2.960084371,absolute
