stamp,ekf_x,ekf_y,pseudo_x,pseudo_y,gps_x,gps_y,reference_x,reference_y,truth_x,truth_y,evaluation_reference_source,evaluation_reference_x,evaluation_reference_y,odom_x,odom_y,ann_x,ann_y,kf_imu_x,kf_imu_y,complementary_x,complementary_y,final_x,final_y,ekf_error_x,ekf_error_y,ekf_error_m,pseudo_error_x,pseudo_error_y,pseudo_error_m,odom_error_x,odom_error_y,odom_error_m,ann_error_x,ann_error_y,ann_error_m,kf_imu_error_x,kf_imu_error_y,kf_imu_error_m,complementary_error_x,complementary_error_y,complementary_error_m,final_error_x,final_error_y,final_error_m
1.200000000,-0.068211054,0.030793913,nan,nan,nan,nan,nan,nan,nan,nan,reference_fallback,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.280000000,-0.065013548,0.053372763,-0.124867395,0.079534262,0.070524595,-0.013761573,0.070524595,-0.013761573,0.000000000,-0.000000000,truth,0.000000000,-0.000000000,-0.000002979,-0.000000017,-0.028030897,0.125193590,-0.079678153,0.064477045,nan,nan,-0.068211054,0.030793913,-0.065013548,0.053372763,0.084115475,-0.124867395,0.079534262,0.148045821,-0.000002979,-0.000000017,0.000002979,-0.028030897,0.125193590,0.128293282,-0.079678153,0.064477045,0.102498280,nan,nan,nan,-0.068211054,0.030793913,0.074839916
1.380000000,0.064684432,-0.071785939,0.081948901,-0.097618056,0.039422584,0.285918200,0.039422584,0.285918200,0.000000000,-0.000000000,truth,0.000000000,-0.000000000,-0.000002393,-0.000000016,-0.023665483,0.130091346,0.077272446,-0.085381220,-0.073944603,0.047635479,-0.065013548,0.053372763,0.064684432,-0.071785939,0.096629689,0.081948901,-0.097618056,0.127455511,-0.000002393,-0.000000016,0.000002393,-0.023665483,0.130091346,0.132226371,0.077272446,-0.085381220,0.115156344,-0.073944603,0.047635479,0.087959896,-0.065013548,0.053372763,0.084115475
1.500000000,0.023076250,0.020638275,0.029293096,0.000915139,0.017461109,0.044091962,0.017461109,0.044091962,0.000000000,-0.000000000,truth,0.000000000,-0.000000000,-0.000002249,-0.000000016,-0.029764563,0.131446147,0.031412393,0.029731539,0.006129449,-0.016004229,0.064684432,-0.071785939,0.023076249,0.020638275,0.030958871,0.029293096,0.000915139,0.029307387,-0.000002249,-0.000000016,0.000002249,-0.029764563,0.131446147,0.134773955,0.031412393,0.029731539,0.043251622,0.006129449,-0.016004229,0.017137838,0.064684432,-0.071785939,0.096629689
1.580000000,0.064602710,0.057321991,0.091365595,0.075659803,-0.099380946,0.124113303,-0.099380946,0.124113303,0.000000000,-0.000000000,truth,0.000000000,-0.000000000,-0.000002713,-0.000000017,-0.022758767,0.134517587,0.079711672,0.070234477,0.048048412,-0.021027200,0.023076250,0.020638275,0.064602710,0.057321991,0.086367359,0.091365595,0.075659803,0.118625788,-0.000002713,-0.000000017,0.000002713,-0.022758767,0.134517587,0.136429259,0.079711672,0.070234477,0.106239505,0.048048412,-0.021027200,0.052448003,0.023076249,0.020638275,0.030958871
1.700000000,-0.107359149,-0.128322995,-0.159047484,-0.218553810,0.062453730,0.006630425,0.062453730,0.006630425,0.000000000,-0.000000000,truth,0.000000000,-0.000000000,-0.000001587,-0.000000014,-0.020190048,0.137308420,-0.147399148,-0.173855612,0.051393961,0.045436376,0.064602710,0.057321991,-0.107359149,-0.128322995,0.167310423,-0.159047484,-0.218553810,0.270299594,-0.000001587,-0.000000014,0.000001588,-0.020190048,0.137308420,0.138784870,-0.147399148,-0.173855612,0.227930434,0.051393961,0.045436376,0.068598859,0.064602710,0.057321991,0.086367359
1.780000000,-0.079072471,0.042429859,-0.120034706,0.063002664,-0.065930492,0.049375649,-0.065930492,0.049375649,0.000000000,-0.000000000,truth,0.000000000,-0.000000000,0.000000245,-0.000000011,-0.023471653,0.127964024,-0.095798819,0.050489618,-0.127379148,-0.151089303,-0.107359149,-0.128322995,-0.079072471,0.042429859,0.089737108,-0.120034706,0.063002664,0.135564251,0.000000245,-0.000000011,0.000000245,-0.023471653,0.127964024,0.130098847,-0.095798819,0.050489618,0.108289498,-0.127379148,-0.151089303,0.197619394,-0.107359149,-0.128322995,0.167310423
1.880000000,-0.051149602,-0.048573240,-0.060027697,-0.072168734,0.041569353,-0.052693374,0.041569353,-0.052693374,0.000000000,-0.000000000,truth,0.000000000,-0.000000000,0.000001126,-0.000000008,-0.028215391,0.122663174,-0.061486717,-0.057292556,-0.087435645,0.046459739,-0.079072471,0.042429859,-0.051149603,-0.048573240,0.070538227,-0.060027698,-0.072168734,0.093870393,0.000001126,-0.000000008,0.000001126,-0.028215391,0.122663174,0.125866447,-0.061486717,-0.057292556,0.084041974,-0.087435645,0.046459739,0.099012622,-0.079072471,0.042429859,0.089737108
2.000000000,0.013609535,-0.144828296,0.017576255,-0.214426146,0.055964985,-0.087102728,0.055964985,-0.087102728,0.000000000,-0.000000000,truth,0.000000000,-0.000000000,-0.000002291,-0.000000016,-0.030337639,0.128047902,0.018405304,-0.194197031,-0.070279594,-0.007431348,-0.051149602,-0.048573240,0.013609535,-0.144828296,0.145466336,0.017576255,-0.214426146,0.215145292,-0.000002291,-0.000000016,0.000002291,-0.030337639,0.128047902,0.131592696,0.018405303,-0.194197031,0.195067276,-0.070279594,-0.007431348,0.070671396,-0.051149603,-0.048573240,0.070538227
2.080000000,0.004106079,-0.091028693,-0.024431380,-0.111476854,0.053973624,0.071606244,0.053973624,0.071606244,0.052800000,-0.000000000,truth,0.052800000,-0.000000000,0.052810081,0.000097955,1.354626745,1.209288580,-0.014762431,-0.110864026,-0.016372149,-0.121385136,0.013609535,-0.144828296,-0.048693921,-0.091028693,0.103234301,-0.077231380,-0.111476854,0.135616279,0.000010081,0.000097955,0.000098472,1.301826745,1.209288580,1.776831940,-0.067562431,-0.110864026,0.129828789,-0.069172150,-0.121385136,0.139710907,-0.039190465,-0.144828296,0.150037089
