stamp,ekf_x,ekf_y,pseudo_x,pseudo_y,gps_x,gps_y,odom_x,odom_y,ann_x,ann_y,kf_imu_x,kf_imu_y,complementary_x,complementary_y,ekf_error_m,pseudo_error_m,odom_error_m,ann_error_m,kf_imu_error_m,complementary_error_m
3.240000000,0.000009611,-0.000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.340000000,-0.000010938,0.000000001,nan,nan,0.019616964,-0.087162746,-0.000015404,0.000000207,nan,nan,nan,nan,nan,nan,0.089345391,nan,0.089346574,nan,nan,nan
3.460000000,0.000018685,-0.000000000,nan,nan,-0.070051883,0.076728657,0.000015952,-0.000000459,nan,nan,0.000000000,0.000000000,nan,nan,0.103909438,nan,0.103907934,nan,0.103896839,nan
3.540000000,0.000002095,-0.000000001,nan,nan,0.016511879,0.143205381,-0.000001539,-0.000000034,nan,nan,0.000000000,0.000000000,0.000009343,-0.000000000,0.144153926,nan,0.144154375,nan,0.144154165,0.144153095
3.640000000,0.041921218,-0.107279830,-0.015397468,-0.184468754,-0.017773797,0.022989178,0.000020971,-0.000000519,0.009182303,0.036897305,0.004804817,-0.154647195,0.000001047,-0.000000000,0.143295182,0.207471541,0.029071978,0.030332611,0.179065560,0.029059377
3.700000000,0.075464949,0.012288130,-0.030744757,-0.146170326,0.038998198,0.154261721,-0.000002929,-0.000000060,0.021145049,0.034696661,-0.004728134,-0.106936105,0.023363018,-0.130963512,0.146582142,0.308420970,0.159115635,0.120890606,0.264832583,0.285653449
3.880000000,0.023104244,-0.093325868,0.026068808,-0.124718749,-0.024768972,-0.260153568,0.000001506,-0.000000166,-0.000380708,0.039955866,0.023791647,-0.089478978,0.035368408,-0.047323988,0.173560729,0.144661916,0.261330001,0.301098754,0.177448441,0.221162689
3.940000000,0.001378572,0.072273205,-0.000729361,0.088384662,0.083253270,-0.182032154,-0.000013142,0.000000219,-0.002726654,0.048605153,0.002626553,0.061382479,0.023447945,-0.091402423,0.267160405,0.283157795,0.200172626,0.246142468,0.256420263,0.108583724
4.040000000,0.021108848,-0.056599787,0.007482148,-0.035776324,-0.094439467,0.033647391,-0.000022935,0.000000486,0.059505497,0.037211201,0.022270063,-0.060980636,0.002002563,0.066827842,0.146615028,0.123319374,0.100232707,0.153986210,0.150251715,0.101990232
4.140000000,0.068725145,0.047285996,0.064814641,0.116408741,-0.118142744,0.098109069,-0.000000198,-0.000000126,-0.026748518,0.052780602,0.068383936,0.049687280,0.021689455,-0.058790212,0.193655862,0.183870287,0.153567820,0.102017520,0.192709294,0.210167619
4.240000000,-0.085592420,0.068020235,-0.123564842,0.077457104,0.242827777,-0.064102864,0.000022607,-0.000000756,0.030999975,0.037691306,-0.086219997,0.067630857,0.068554541,0.048486638,0.354000478,0.392788462,0.251124333,0.235017171,0.354437880,0.207479051
4.340000000,0.034278648,0.037037426,-0.013038494,0.062032424,0.089546795,-0.015281479,0.000000307,-0.000000168,0.064925045,0.038305665,0.032385169,0.037532939,-0.085906209,0.067825546,0.076104112,0.128456923,0.090841026,0.058972981,0.077825537,0.194140501
4.440000000,-0.113447899,0.127840728,-0.172393973,0.165718252,0.144813477,-0.142004609,0.000003391,-0.000000270,0.054095163,0.036905711,-0.114741431,0.126953559,0.033331909,0.037285182,0.373517663,0.441943351,0.202818128,0.200595900,0.373774326,0.211123114
